Category,Budget 2000-01,Budget 2001-02,Budget 2002-03,Budget 2003-04,Budget 2004-05,Budget 2005-06,Budget 2006-07,Budget 2007-08,Budget 2008-09,Budget 2009-10,Budget 2010-11,Budget 2011-12,Budget 2012-13,Budget 2013-14,Budget 2014-15,Budget 2015-16,Budget 2016-17,Budget 2017-18,Budget 2018-19,Budget 2019-20,Budget 2020-21,Budget 2021-22,Budget 2022-23,Budget 2023-24,Budget 2024-25,Budget 2025-26
Taxation,3188.8,3178.5,3057.5,3422.1,3543.9,3695.2,4010.9,4104.9,4679.0,4458.9,4859.2,5267.8,5315.0,5991.6,6820.3,6808.1,6860.9,7286.6,7214.9,7588.5,7202.8,7238.0,8092.8,9633.8,9723.3,10449.5
Non-renewable resources,750.6,877.3,710.8,816.8,707.4,1192.1,1511.8,1515.4,1906.9,3368.9,2108.0,2828.9,3148.3,2670.6,2694.4,2453.2,1484.9,1406.4,1482.1,1826.8,997.4,1328.5,2910.1,3344.6,2686.3,2699.4
Net income from government business enterprises,1194.1,557.7,705.6,600.2,664.1,546.0,536.6,596.8,968.4,776.9,768.5,587.8,639.4,748.7,668.2,904.9,1084.4,1053.7,1078.0,1080.5,728.8,899.2,742.5,529.1,657.0,705.2
Other own-source revenue,307.7,320.4,319.0,334.2,349.4,346.8,344.3,373.7,426.7,598.4,514.5,541.0,601.3,568.0,1863.8,1890.8,2088.9,1964.9,2006.5,2062.1,1933.1,2104.1,2192.5,2615.6,3015.6,3265.0
Transfers from the federal government,941.2,1107.8,1301.4,1054.7,1325.7,1226.7,1323.6,1278.5,1385.5,1457.7,1699.7,1568.8,1586.9,1628.4,2026.4,2223.0,2504.8,2453.5,2462.0,2467.2,2786.6,2908.5,3219.7,3554.6,3779.7,3937.0
Property,,,,,,,,,,,,,,,664.0,664.0,666.9,753.9,759.3,768.0,767.1,784.8,804.1,805.0,805.0,816.1
