LUTHER COLLEGE, REGINA (107650061RR0001)
"Staff","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"300: Full-time employees (#)",129,127,126,129,106,111,105,102,97,95,95,93,92,89,93,98,96,91,91,90,90,84
"370: Part-time or part-year employees (#)",91,85,77,108,140,139,133,124,115,104,124,115,117,124,113,133,125,130,120,98,102,90
"390: Total compensation ($)",12297010,12069338,11478423,10543120,11148198,11371654,11135932,11083077,10512830,10350033,10211988,9524784,8588565,8250164,7763280,7506454,7256303,6913129,6907714,6557796,6299088,5499569
"380: Part-time or part-year compensation ($)",1280085,1423485,1079731,1275393,1499562,2287040,1952510,2240859,2176457,1997416,1691896,1497841,1533330,1311555,1135628,1130834,1137635,917240,1222669,1114960,1014810,751725
"4860: Professional and Consulting Fees ($)",42950,35275,52125,62486,67565,50421,55065,68369,26013,21643,22138,38138,60694,22343,49264,20160,19528,17994,32152,11656,50688,17961
