BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Liabilities","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4300: Accounts payable and accrued liabilities ($)",18479243,15267205,14519736,3308219,4931548,4230153,3906507,4360128,5846529,3649718,4740343,3377208,4319996,4805881,3094455,13206163,10493589,7497986,5155876,4002671,5256737,5430021
"4310: Deferred revenue ($)",3568611,5168480,5679006,6028225,1200008,5695373,60550,2206484,4425655,5157520,5600655,5449239,4941012,4786555,5917175,0,0,0,0,0,0,0
"4320: Amounts owing to non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4330: Other liabilities ($)",3684800,3763700,3780500,3675400,2348600,2577800,2502100,2365600,4844000,4423103,4300403,4042603,4411814,3734103,5704366,0,0,0,0,0,0,0
"4350: Total liabilities ($)",25732654,24199385,23979242,13011844,8480156,12503326,6469157,8932212,15116184,13230341,14641401,12869050,13672822,13326539,14715996,13206163,10493589,7497986,5155876,4002671,5256737,5430021
