BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Gifts to Qualified Donees","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"2000: Did the charity make gifts or transfer funds to qualified donees or other organizations?","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",1,"Y","Y","Y","Y","Y"
"5050: Total amount of gifts made to all qualified donees ($)",66463,74488,80951,47368,113930,89840,89550,134281,110121,120131,103662,93041,91920,124096,78494,26574,8116,100,300,1060,220,100
