HARVEST CITY CHURCH INC. (107663890RR0001)
"Liabilities","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4300: Accounts payable and accrued liabilities ($)",190319,238640,186805,176426,158468,112251,171729,144451,126963,167551,101087,150220,204320,83674,23571,105358,89321,135242,39504,75640,89474,46514
"4310: Deferred revenue ($)",362713,377056,507312,555628,444321,303738,282054,198890,157620,107158,165116,262227,243097,228792,202388,202382,140465,145821,188280,248249,184011,149735
"4320: Amounts owing to non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4330: Other liabilities ($)",0,0,2669,2195,1693,868,15497,13977,12527,10942,0,534,602,0,40895,0,0,0,0,0,0,316250
"4350: Total liabilities ($)",553032,615696,696786,734249,604482,416857,469280,357318,297110,285651,266203,412981,448019,312466,266854,307740,229786,281063,227784,323889,273485,512499
