HARVEST CITY CHURCH INC. (107663890RR0001)
"Gifts to Qualified Donees","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"2000: Did the charity make gifts or transfer funds to qualified donees or other organizations?","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","n/a","n/a","n/a","n/a","n/a","n/a"
"5050: Total amount of gifts made to all qualified donees ($)",199023,168580,145901,103084,99579,124346,147571,114544,146978,156822,179412,117208,126026,178762,107450,52743,37009,99153,375,20877,9730,11980
