BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN (118812767RR0001)
"Gifts to Qualified Donees","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"2000: Did the charity make gifts or transfer funds to qualified donees or other organizations?","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1,"Y","Y","Y","Y","Y"
"5050: Total amount of gifts made to all qualified donees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
