BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN (118812767RR0001)
"Staff","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"300: Full-time employees (#)",2846,2601,2592,2543,0,2425,2388,2397,2377,2392,2319,2069,1713,1694,1681,1678,1648,1595,1616,1815,0,0
"370: Part-time or part-year employees (#)",908,518,464,394,451,436,472,429,492,473,462,487,446,464,454,476,505,255,187,280,0,0
"390: Total compensation ($)",224058779,220737003,212551410,204017750,191936482,188758878,185580402,184347900,179035030,176030068,169850027,161602586,153647905,146614029,190989204,133675931,130429270,123170241,95157197,117734178,114081485,108873418
"380: Part-time or part-year compensation ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4043455,0,0,0
"4860: Professional and Consulting Fees ($)",2637254,2562191,3154859,2144956,1374614,1771147,1773736,1993814,1485870,1531285,1261656,1237840,1300787,1550635,1343073,1201827,0,0,0,0,0,0
