BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN (118812767RR0001)
"Liabilities","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4300: Accounts payable and accrued liabilities ($)",43910279,32962999,35145622,18817106,13260739,12908548,12238796,16687015,21862094,16444285,17744855,17059981,16110442,16826447,10332380,11116739,9942750,9161792,14611287,11180064,18008355,15205571
"4310: Deferred revenue ($)",656332,620863,868562,976551,1954076,1544745,1372958,6096491,11104323,10499590,11001336,13154434,10769165,14083065,23484610,17952203,16517603,13109742,0,0,0,0
"4320: Amounts owing to non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8543800,0,0,0,0,0,0
"4330: Other liabilities ($)",23969545,25979437,27705290,29312230,30444803,33811981,35611265,38386813,40016037,42167237,38164601,28703075,31059822,13763060,18521618,20046022,12443783,5999688,5523112,4923713,6500257,1083486
"4350: Total liabilities ($)",68536156,59563299,63719474,49105887,45659618,48265274,49223019,61170319,72982454,69111112,66910792,58917490,57939429,44672572,52338608,57658764,38904136,28271222,20134399,16103777,24508612,16289057
