0,REGINA CHRISTIAN SCHOOL ASSOCIATION (107881872RR0001) Gifts to Qualified Donees,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006.0,2005,2004,2003.0
1,2000: Did the charity make gifts or transfer funds to qualified donees or other organizations?,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,Y,,Y,Y,
2,5050: Total amount of gifts made to all qualified donees ($),35493,53690,19123,28835,42350,38376,45179,29440,95364,33543,72564,2175,848,1185,210,23841,16214,18796,1200.0,1200,1400,0.0
