0,REGINA CHRISTIAN SCHOOL ASSOCIATION (107881872RR0001) Liabilities,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
1,4300: Accounts payable and accrued liabilities ($),344806,186363,114212,87100,188296,133233,137233,132573,113223,247007,151264,102606,146191,115603,84351,98898,95411,82997,97716,25196,20165,38969
2,4310: Deferred revenue ($),2052698,1837514,1619765,1611696,1340597,1376971,1450759,1148426,997656,857257,602582,522565,440538,345149,393036,446391,336898,337558,185420,132137,104871,0
3,4320: Amounts owing to non-arm's length persons ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479602,0,0,0
4,4330: Other liabilities ($),3907019,476604,543520,417824,77004,132048,76300,148062,224383,300707,372845,69038,474389,527648,582605,638435,663834,494357,0,33996,33287,11979
5,4350: Total liabilities ($),6304523,2500481,2277497,2116620,1605897,1642242,1664292,1429061,1335262,1404971,1126691,694209,1061118,988400,1059992,1183724,1096143,914912,310971,191329,158323,50948
