MOTHER TERESA MIDDLE SCHOOL INC. (821193604RR0001)
"Gifts to Qualified Donees","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011"
"2000: Did the charity make gifts or transfer funds to qualified donees or other organizations?","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N"
"5050: Total amount of gifts made to all qualified donees ($)",3050,3017,0,0,0,0,0,0,0,0,0,0,0,0
