MOTHER TERESA MIDDLE SCHOOL INC. (821193604RR0001)
"Reporting Period","Donee Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"REGINA & DISTRICT FOOD BANK INC.","REGINA","SK",3050,0
2023,"REGINA TRANSITION HOUSE INC.","REGINA","SK",2192,0
2023,"THE CANADIAN RED CROSS SOCIETY","OTTAWA","ON",825,0
