MONTESSORI SCHOOL OF REGINA INC. (119044758RR0001)
"Expenditures by 7 Groups","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"5000: (a) Total expenditures on charitable activities ($)",2091768,1706561,1266716,0,0,0,0,0,0,0,0,0,567284,535039,523881,372756,303080,272477,266843,280100,0,0
"5010: (b) Total expenditures on management and administration ($)",232418,189617,166782,0,0,0,0,0,0,0,0,0,73269,62757,38000,31620,25000,25000,25000,8006,250203,267021
"5020: (c) Total expenditures on fundraising ($)",867,867,5785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5030: (d) Total expenditures on political activities, inside or outside Canada — question not asked from 2019 onward ($)","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5040: (e) Total other expenditures included in line 4950 ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5045: Total grants made to non-qualified donees (grantees) ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5050: Total amount of gifts made to all qualified donees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"5100: Total expenditures ($)",2325054,1897046,1439283,1190464,1120786,891248,920075,0,991744,961200,842025,693959,640553,597796,561981,409376,328080,297477,291843,288106,250203,267021
