MONTESSORI SCHOOL OF REGINA INC. (119044758RR0001)
"Liabilities","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4300: Accounts payable and accrued liabilities ($)",439390,52690,72907,16131,22692,33232,12079,6365,4740,6722,29873,10681,3239,17832,13997,14238,5913,1235,913,400,1026,12294
"4310: Deferred revenue ($)",147714,167379,385787,96928,0,73898,95959,97347,36865,22680,26789,413,64990,5603,2257,7665,0,0,7660,1334,1261,1835
"4320: Amounts owing to non-arm’s length persons ($)",2389730,1601747,0,0,0,0,0,0,0,0,0,11000,23000,23000,35000,47000,0,0,0,0,0,0
"4330: Other liabilities ($)",0,0,1390000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4350: Total liabilities ($)",2976834,1821816,1848694,153059,22692,107130,108038,103712,41605,29402,56662,22094,91229,46435,51254,68903,5913,1235,8573,1734,2287,14129
