REGINA HUDA SCHOOL INC (898236922RR0001)
"Expenditures by 7 Groups","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"5000: (a) Total expenditures on charitable activities ($)",1507212,1524008,1369462,1300830,1146191,1201731,1211722,884065,772004,718370,715681,520934,606322,579355,495641,334231,370586,389781,358443,313857,396741,0
"5010: (b) Total expenditures on management and administration ($)",35334,20236,19396,17804,32433,26440,55814,43983,0,14875,15208,9490,14360,10147,8227,13119,8858,4441,5532,2315,4893,0
"5020: (c) Total expenditures on fundraising ($)",28275,3066,8495,1000,7161,6174,3115,4180,6948,2303,1193,12161,1954,17679,4789,4013,6993,13816,31442,1500,14834,12294
"5030: (d) Total expenditures on political activities, inside or outside Canada — question not asked from 2019 onward ($)","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5040: (e) Total other expenditures included in line 4950 ($)",0,0,0,0,0,0,0,0,0,15733,11491,6439,0,0,0,0,0,0,0,0,0,0
"5045: Total grants made to non-qualified donees (grantees) ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5050: Total amount of gifts made to all qualified donees ($)",0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,4135,0,0,21200,20000,0,0
"5100: Total expenditures ($)",1570821,1562341,1397353,1324634,1185785,1234345,1270652,937528,801588,751281,743574,549024,622636,607181,514536,359989,401405,426817,403394,323360,416468,269344
