REGINA HUDA SCHOOL INC (898236922RR0001)
"Liabilities","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4300: Accounts payable and accrued liabilities ($)",8465,12188,10428,9783,5700,13955,7959,70615,192332,0,0,0,0,0,0,0,0,110000,5000,0,0,0
"4310: Deferred revenue ($)",95962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4320: Amounts owing to non-arm’s length persons ($)",0,0,0,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4330: Other liabilities ($)",0,30000,30000,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,55000,125000
"4350: Total liabilities ($)",104427,42188,40428,239783,235700,13955,7959,70615,192332,0,0,0,0,0,0,0,0,110000,5000,5000,55000,125000
