REGINA HUDA SCHOOL INC (898236922RR0001)
"Staff","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"300: Full-time employees (#)",10,7,5,9,7,5,6,7,6,7,7,14,15,7,5,4,2,3,1,0,0,0
"370: Part-time or part-year employees (#)",9,8,12,12,11,16,11,11,12,14,9,5,8,8,11,10,10,12,16,5,3,5
"390: Total compensation ($)",506866,481194,465585,467629,426825,486070,446320,341742,383617,408670,337284,297007,325566,283756,274285,155189,135653,126691,98763,103138,115493,97992
"380: Part-time or part-year compensation ($)",133939,206107,255670,166958,175974,269639,201489,118420,117517,168132,138452,104320,118870,104210,134047,73700,130158,135692,118168,58676,30712,44277
"4860: Professional and Consulting Fees ($)",15685,15031,13622,11366,12057,11666,10667,10395,9038,3336,4617,2205,1990,1979,2173,1522,2357,146,1708,0,915,858
